Person_ID,Index_Name, IN_Foreign_Notation,Real_Name, RN_Foreign_Notation,Birth_Year,Death_Year,Birth_Place,Sex,ISNI,Responsibility
291,임정재,任鼎宰,임정재,任鼎宰,?,?,?,?,?,정성훈
292,임학수,林學洙,임학수,林學洙,1911,1982,전라남도 순천,남,0000 0000 4752 913X,정성훈
293,임화,林和,임인식,林仁植,1908,1953,서울 낙산,남,0000 0000 8448 4348,정성훈
294,장덕조,張德祚,장덕조,張德祚,1914,2003,경상북도 경산,여,0000 0004 5564 5236,정성훈
295,장만영,張萬榮,장만영,張萬榮,1914,1975,황해도 연백,남,0000 0000 6349 1602,정성훈
296,장서언,張瑞彦,장서언,張瑞彦,1912,1979,서울,남,0000 0000 2810 3117,정성훈
297,장정심,張貞心,장정심,張貞心,1898,1947,경기도 개성,여,0000 0000 2178 1097,정성훈
298,장준석,張準錫,장준석,張準錫,?,?,?,?,?,정성훈
299,장지연,張志淵,장지연,張志淵,1864,1921,경상북도 상주,남,0000 0000 7247 2585,정성훈
300,장혁주,張赫宙,장혁주,張赫宙,1905,1998,경상북도 대구,남,0000 0000 8219 9703,정성훈
301,전무길,全武吉,전무길,全武吉,1905,?,황해도 재령,남,0000 0004 6464 2088,정성훈
302,전숙희,田淑禧,전숙희,田淑禧,1919,2010,함경남도 원산,여,0000 0000 2229 1401,정성훈
303,전영택,田榮澤,전영택,田榮澤,1894,1968,평안남도 평양,남,0000 0001 0891 6644,정성훈
304,전홍준,全洪俊,전홍준,全洪俊,?,?,?,남,0000 0004 6474 4463,정성훈
305,정래동,丁來東,정래동,丁來東,1903,1985,전라남도 곡성,남,0000 0004 7339 3220,정성훈
306,정노풍,鄭蘆風,정철,鄭哲,1903,?,?,?,0000 0004 7707 039X,정성훈
307,정병순,鄭昞淳,정병순,鄭昞淳,?,?,?,?,?,정성훈
308,정비석,鄭飛石,정서죽,鄭瑞竹,1911,1991,평안북도 의주,남,0000 0000 2618 8516,정성훈
309,정순정,鄭順貞,정순정,鄭順貞,?,?,?,?,?,정성훈
310,정열모,鄭烈模,정열모,鄭烈模,1895,1968,?,남,0000 0004 6441 4472,정성훈
311,정인보,鄭寅普,정인보,鄭寅普,1893,1950,서울,남,0000 0000 2291 2984,정성훈
312,정인섭,鄭寅燮,정인섭,鄭寅燮,1905,1983,경상남도 울주,남,0000 0001 1048 4561,정성훈
313,정인승,鄭寅承,정인승,鄭寅承,1897,1986,전라북도 장수,남,0000 0004 6819 207X,정성훈
314,정인택,鄭人澤,정인택,鄭人澤,1909,1952,서울,남,0000 0000 8441 3830,정성훈
315,정지용,鄭芝溶,정지용,鄭芝溶,1902,1950,충청북도 옥천,남,0000 0000 8482 4322,정성훈
316,정진석,鄭鎭石,정진석,鄭鎭石,?,?,?,?,?,정성훈
317,조남령,曺南嶺,조영은,曺泳恩,1920,?,전라남도 영광,?,0000 0004 6444 1294,정성훈
318,조명희,趙明熙,조명희,趙明熙,1894,1938,충청북도 진천,남,0000 0000 2262 6195,정성훈
319,조벽암,趙碧巖,조중흡,趙重洽,1908,1985,충청북도 진천,남,0000 0000 8348 5322,정성훈
320,조연현,趙演鉉,조연현,趙演鉉,1920,1981,경상남도 함안,남,0000 0000 2625 7024,정성훈
321,조영출,趙靈出,조영출,趙靈出,1913,1993,충청남도 아산,남,0000 0004 6515 7375,정성훈
322,조용만,趙容萬,조용만,趙容萬,1909,1995,서울,남,0000 0003 8177 072X,정성훈
323,조운,曺雲,조주현,曺柱鉉,1900,?,전라남도 영광,남,0000 0000 5104 8734,정성훈
324,조윤제,趙潤濟,조윤제,趙潤濟,1904,1976,경상북도 예천,남,0000 0000 8329 9677,정성훈
325,조종현,趙宗玄,조용제,趙龍濟,1906,1989,전라남도 고흥,남,0000 0000 3003 2477,정성훈
326,조중곤,趙重滾,조중곤,趙重滾,?,?,?,남,?,정성훈
327,조중환,趙重桓,조중환,趙重桓,1884,1947,서울,남,0000 0004 7762 8154,정성훈
328,조지훈,趙芝薰,조동탁,趙東卓,1920,1968,경상북도 영양,남,0000 0000 8430 4458,정성훈
329,조풍연,趙豐衍,조풍연,趙豐衍,1914,1991,서울,남,0000 0000 8197 0877,정성훈
330,조향,趙鄕,조섭제,趙燮濟,1917,1984,경상남도 사천,남,0000 0004 7858 5395,정성훈
331,조허림,趙虛林,조허림,趙虛林,?,?,?,?,?,정성훈
332,조희순,曺希醇,조희순,曺喜淳,1905,?,경상남도 김해,남,?,정성훈
333,주영섭,朱永涉,주영섭,朱永涉,1912,?,평안남도 평양,남,?,정성훈
334,주요섭,朱耀燮,주요섭,朱耀燮,1902,1972,평안남도 평양,남,0000 0001 1028 1270,정성훈
335,주요한,朱耀翰,주요한,朱耀翰,1900,1979,평안남도 평양,남,0000 0000 8436 8961,정성훈
336,지봉문,池奉文,지봉문,池奉文,?,?,?,?,0000 0004 8396 7726,정성훈
337,지하련,地河連,이현욱,李現郁,1912,1960,경상남도 거창,여,0000 0000 6412 0045,정성훈
338,진장섭,秦長燮,진장섭,秦長燮,1904,?,경기도 개성,남,0000 0004 6084 7107,정성훈
339,진학문,秦學文,진학문,秦學文,1894,1974,서울,남,0000 0004 6434 9033,정성훈
340,차상찬,車相瓚,차상찬,車相瓚,1887,1946,강원도 춘천,남,0000 0003 7126 1198,정성훈
341,채만식,蔡萬植,채만식,蔡萬植,1902,1950,전라북도 옥구,남,0000 0001 0882 5128,정성훈
342,채정근,蔡廷根,채정근,蔡廷根,?,?,?,?,?,정성훈
343,최남선,崔南善,최남선,崔南善,1890,1957,서울,남,0000 0000 8138 5686,정성훈
344,최독견,崔獨鵑,최상덕,崔象德,1901,1970,황해도 신천,남,0000 0004 5783 6394,정성훈
345,최명익,崔明翊,최명익,崔明翊,1902,1972,평안남도 평양,남,0000 0000 8079 2773,정성훈
346,최문진,崔文鎭,최문진,崔文鎭,?,?,?,?,?,정성훈
